symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DOW,2019-11-01 00:00:00+00:00,52.31,52.49,50.9,50.98,3240073,44.7627001977,44.916729753,43.5561353482,43.6245929283,3240073,0.0,1.0
DOW,2019-11-04 00:00:00+00:00,54.17,54.41,52.46,52.65,5436126,46.3543389354,46.5597116758,44.8910581605,45.0536449132,5436126,0.0,1.0
DOW,2019-11-05 00:00:00+00:00,54.2,55.0,53.65,54.01,6073216,46.380010528,47.0645863291,45.9093646647,46.2174237752,6073216,0.0,1.0
DOW,2019-11-06 00:00:00+00:00,54.28,54.74,53.81,54.16,3864084,46.4484681081,46.8420991937,46.0462798249,46.3457817379,3864084,0.0,1.0
DOW,2019-11-07 00:00:00+00:00,55.8,55.94,54.42,54.94,6686416,47.7491621303,47.8689628955,46.5682688733,47.013243144,6686416,0.0,1.0
DOW,2019-11-08 00:00:00+00:00,55.99,55.99,55.02,55.5,4830952,47.911748883,47.911748883,47.0817007241,47.4924462048,4830952,0.0,1.0
DOW,2019-11-11 00:00:00+00:00,55.81,56.25,55.22,55.55,3199377,47.7577193278,48.1342360184,47.2528446744,47.5352321924,3199377,0.0,1.0
DOW,2019-11-12 00:00:00+00:00,55.16,56.11,54.53,56.0,2742339,47.2015014893,48.0144352532,46.6623980459,47.9203060805,2742339,0.0,1.0
DOW,2019-11-13 00:00:00+00:00,53.66,54.48,53.46,54.19,3451005,45.9179218622,46.6196120584,45.7467779119,46.3714533304,3451005,0.0,1.0
DOW,2019-11-14 00:00:00+00:00,53.95,54.14,53.15,53.3,2597581,46.1660805901,46.3286673429,45.4815047889,45.6098627517,2597581,0.0,1.0
DOW,2019-11-15 00:00:00+00:00,54.86,55.29,54.14,54.27,3869678,46.9447855639,47.312745057,46.3286673429,46.4399109106,3869678,0.0,1.0
DOW,2019-11-18 00:00:00+00:00,54.32,54.91,54.12,54.75,3445289,46.4826968981,46.9875715515,46.3115529478,46.8506563912,3445289,0.0,1.0
DOW,2019-11-19 00:00:00+00:00,53.39,54.81,52.79,54.81,5230197,45.6868775293,46.9019995763,45.1734456784,46.9019995763,5230197,0.0,1.0
